"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
ms,us,,,,,,,,B,B,B,MB/s,,,,,,B,,,
558.248561,212.809000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"binaryCrossEntropyCost(float*, float*, int, float*)",1004
558.344586,114.821000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,"53","0x7fe2fe000000","[Unified Memory GPU page faults]",
558.422509,2.209000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,4096.000000,"0x7fe2fe000000","[Unified Memory Memcpy HtoD]",
558.424718,5.856000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,61440.000000,"0x7fe2fe001000","[Unified Memory Memcpy HtoD]",
558.466708,,,,,,,,,,,,,,,,,,"PC 0x16c6f982","0x7fe2fe000000","[Unified Memory CPU page faults]",
558.489552,1.312000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,4096.000000,"0x7fe2fe000000","[Unified Memory Memcpy DtoH]",
558.490864,5.632000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,61440.000000,"0x7fe2fe001000","[Unified Memory Memcpy DtoH]",
558.676098,3.360000,13,4,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",1008
558.682466,2.272000,12,1,1,256,1,1,8,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"reluActivationForward(float*, float*, int, int)",1010
558.687971,3.712000,13,1,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",1012
558.693347,2.400000,1,1,1,256,1,1,12,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"sigmoidActivationForward(float*, float*, int, int)",1014
558.699459,2.976000,1,1,1,256,1,1,16,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"dBinaryCrossEntropyCost(float*, float*, float*, int)",1016
558.704515,2.560000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"sigmoidActivationBackprop(float*, float*, float*, int, int)",1018
558.710212,2.463000,13,4,1,8,8,1,40,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerBackprop(float*, float*, float*, int, int, int, int)",1020
558.715204,2.464000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateBias(float*, float*, int, int, int, float)",1022
558.719812,5.376000,4,1,1,8,8,1,31,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateWeights(float*, float*, float*, int, int, int, int, float)",1024
558.725764,2.464000,12,1,1,256,1,1,8,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"reluActivationBackprop(float*, float*, float*, int, int)",1026
558.729252,3.744000,13,1,1,8,8,1,40,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerBackprop(float*, float*, float*, int, int, int, int)",1028
558.734053,5.248000,12,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateBias(float*, float*, int, int, int, float)",1030
558.739845,5.376000,1,4,1,8,8,1,31,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateWeights(float*, float*, float*, int, int, int, int, float)",1032
558.777401,,,,,,,,,,,,,,,,,,"PC 0x16c6f8a9","0x7fe2fe000000","[Unified Memory CPU page faults]",
558.834056,217.897000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"binaryCrossEntropyCost(float*, float*, int, float*)",1036
558.934402,115.588000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,"53","0x7fe2fe000000","[Unified Memory GPU page faults]",
559.013221,2.240000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,4096.000000,"0x7fe2fe000000","[Unified Memory Memcpy HtoD]",
559.015461,5.984000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,61440.000000,"0x7fe2fe001000","[Unified Memory Memcpy HtoD]",
559.057205,,,,,,,,,,,,,,,,,,"PC 0x16c6f982","0x7fe2fe000000","[Unified Memory CPU page faults]",
559.080839,1.312000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,4096.000000,"0x7fe2fe000000","[Unified Memory Memcpy DtoH]",
559.082151,5.665000,,,,,,,,,,,,,,"NVIDIA GeForce GTX 1080 Ti (0)",,,61440.000000,"0x7fe2fe001000","[Unified Memory Memcpy DtoH]",
559.259449,3.328000,13,4,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",1040
559.266010,2.304000,12,1,1,256,1,1,8,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"reluActivationForward(float*, float*, int, int)",1042
559.271130,3.680000,13,1,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",1044
559.276666,2.400000,1,1,1,256,1,1,12,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"sigmoidActivationForward(float*, float*, int, int)",1046
