==14716== NVPROF is profiling process 14716, command: ./main
==14716== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14716== Profiling application: ./main
==14716== Profiling result:
==14716== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"issue_slot_utilization","Issue Slot Utilization",4.249076%,5.774627%,5.367339%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.198143,0.238678,0.229621
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
